City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Urucara,BR,83.8,overcast clouds,-2.5364,-57.76,Hotel japa
9,Mahebourg,MU,80.6,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
11,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
12,Cidreira,BR,76.15,clear sky,-30.1811,-50.2056,Hotel Castelo
17,Rikitea,PF,79.93,few clouds,-23.1203,-134.9692,Pension Maro'i
22,Cayenne,GF,75.2,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
32,Butaritari,KI,79.84,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
35,Manadhoo,MV,83.01,clear sky,5.7667,73.3833,Vevu Guesthouse
38,Saint-Joseph,RE,78.8,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
39,Oistins,BB,84.2,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
45,Moron,AR,82.99,clear sky,-34.6534,-58.6198,Hotel Morón
49,Oranjestad,AW,84.2,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
51,Castro,BR,75.42,few clouds,-24.7911,-50.0119,CHACARA BAILLY
55,Iracoubo,GF,79.66,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
56,Bhatkal,IN,78.01,clear sky,13.9667,74.5667,SPOT ON 61793 Chaya Residency SPOT
62,Road Town,VG,84.2,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
65,Atuona,PF,80.4,clear sky,-9.8,-139.0333,Villa Enata
67,Lorengau,PG,80.89,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
68,Namatanai,PG,78.87,broken clouds,-3.6667,152.4333,Namatanai Hotel
69,Jaque,PA,84.92,scattered clouds,7.5175,-78.1703,Imbu Bua Lodge
73,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
84,Avarua,CK,82.4,broken clouds,-21.2078,-159.775,Paradise Inn
86,Bubaque,GW,75.4,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
92,Alofi,NU,77.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
93,Wukari,NG,88.29,clear sky,7.85,9.7833,Elimtop
95,Minatitlan,MX,78.8,broken clouds,17.9833,-94.5167,Grand Regency Express
100,Touros,BR,86.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
101,Cabo San Lucas,MX,75.2,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
