City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Augustin,CA,51.226,-58.6502,25.81,94,100,16.51,overcast clouds
1,Bredasdorp,ZA,-34.5322,20.0403,66.2,72,0,13.8,clear sky
2,Cap-Aux-Meules,CA,47.3821,-61.8597,19.4,86,100,17.27,overcast clouds
3,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,84,90,5.75,light snow
4,Invermere,CA,50.5167,-116.0354,35.01,92,100,1.01,overcast clouds
5,Kapaa,US,22.0752,-159.319,69.8,83,90,20.71,light rain
6,Leh,IN,34.1667,77.5833,15.03,80,94,0.87,overcast clouds
7,Crotone,IT,39.0851,17.1178,51.8,82,40,6.91,scattered clouds
8,Urucara,BR,-2.5364,-57.76,83.8,78,99,0.94,overcast clouds
9,Mahebourg,MU,-20.4081,57.7,80.6,78,75,4.61,broken clouds
10,Mataura,NZ,-46.1927,168.8643,46.99,91,69,5.01,broken clouds
11,Vaini,TO,-21.2,-175.2,78.8,94,75,9.22,broken clouds
12,Cidreira,BR,-30.1811,-50.2056,76.15,58,7,11.56,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,55.4,47,0,31.07,clear sky
14,Geraldton,AU,-28.7667,114.6,68.0,88,0,8.05,clear sky
15,Verkh-Usugli,RU,52.7,115.1667,-0.27,89,0,3.53,clear sky
16,Saint Anthony,US,45.0205,-93.218,46.4,36,1,9.22,clear sky
17,Rikitea,PF,-23.1203,-134.9692,79.93,82,16,12.08,few clouds
18,Dingle,PH,10.9995,122.6711,73.15,84,100,6.73,light rain
19,Port Alfred,ZA,-33.5906,26.891,70.92,84,0,14.12,clear sky
20,Chunhuhub,MX,19.55,-88.6833,89.94,42,61,3.69,broken clouds
21,Tiksi,RU,71.6872,128.8694,-19.39,87,100,5.19,overcast clouds
22,Cayenne,GF,4.9333,-52.3333,75.2,94,75,8.05,moderate rain
23,Guerrero Negro,MX,27.9769,-114.0611,66.13,58,0,20.71,clear sky
24,Chumikan,RU,54.7183,135.315,-9.65,82,0,22.68,clear sky
25,Busselton,AU,-33.65,115.3333,64.99,92,87,10.6,overcast clouds
26,Medvezhyegorsk,RU,62.9167,34.4667,21.13,96,100,15.39,light snow
27,Jamestown,US,42.097,-79.2353,26.01,93,90,13.18,light snow
28,Hambantota,LK,6.1241,81.1185,73.4,100,75,4.61,broken clouds
29,Cape Town,ZA,-33.9258,18.4232,71.01,64,20,8.05,few clouds
30,Campbell River,CA,50.0163,-125.2446,45.0,93,90,4.61,overcast clouds
31,Esperance,AU,-33.8667,121.9,64.4,100,90,4.61,overcast clouds
32,Butaritari,KI,3.0707,172.7902,79.84,81,38,14.58,scattered clouds
33,Bluff,NZ,-46.6,168.3333,46.99,91,37,5.01,light rain
34,Pangnirtung,CA,66.1451,-65.7125,1.4,66,90,10.36,snow
35,Manadhoo,MV,5.7667,73.3833,83.01,64,0,6.85,clear sky
36,Yellowknife,CA,62.456,-114.3525,10.4,85,75,5.75,broken clouds
37,Kodiak,US,57.79,-152.4072,28.4,50,1,25.32,clear sky
38,Saint-Joseph,RE,-21.3667,55.6167,78.8,78,90,4.61,overcast clouds
39,Oistins,BB,13.0667,-59.5333,84.2,61,40,19.57,scattered clouds
40,Kazachinskoye,RU,57.6953,93.2761,25.21,96,100,10.27,overcast clouds
41,Tuy Hoa,VN,13.0833,109.3,71.35,91,70,2.3,broken clouds
42,Olafsvik,IS,64.8945,-23.7142,41.32,88,100,8.84,overcast clouds
43,Sawtell,AU,-30.3833,153.1,64.99,94,90,4.61,overcast clouds
44,Japura,ID,-0.3167,102.35,73.81,98,100,2.77,moderate rain
45,Moron,AR,-34.6534,-58.6198,82.99,35,0,1.99,clear sky
46,Khatanga,RU,71.9667,102.5,-21.08,86,73,10.71,broken clouds
47,Faya,SA,18.3851,42.4509,64.4,77,0,5.75,clear sky
48,Linkou,CN,45.3,130.2833,-4.0,86,1,4.32,clear sky
49,Oranjestad,AW,12.524,-70.027,84.2,65,20,25.32,few clouds
50,Srednekolymsk,RU,67.45,153.6833,-11.22,88,100,18.97,overcast clouds
51,Castro,BR,-24.7911,-50.0119,75.42,67,12,5.46,few clouds
52,Yar-Sale,RU,66.8333,70.8333,-5.35,92,93,8.43,overcast clouds
53,Luena,AO,-11.7833,19.9167,64.18,83,99,3.27,overcast clouds
54,Tasiilaq,GL,65.6145,-37.6368,24.8,86,75,28.77,snow
55,Iracoubo,GF,5.4802,-53.2011,79.66,86,96,14.09,overcast clouds
56,Bhatkal,IN,13.9667,74.5667,78.01,80,5,2.51,clear sky
57,Albany,US,42.6001,-73.9662,26.01,47,100,11.3,overcast clouds
58,Ushuaia,AR,-54.8,-68.3,50.0,71,75,32.21,broken clouds
59,Vada,NL,51.97,5.6667,36.0,74,3,4.61,clear sky
60,Teya,RU,60.3778,92.6267,19.29,94,100,7.4,overcast clouds
61,Ancud,CL,-41.8697,-73.8203,66.0,100,75,8.05,light rain
62,Road Town,VG,18.4167,-64.6167,84.2,65,20,10.36,few clouds
63,Asau,RO,46.4333,26.4,28.99,64,0,4.61,clear sky
64,Katsuura,JP,35.1333,140.3,46.99,67,100,1.99,overcast clouds
65,Atuona,PF,-9.8,-139.0333,80.4,71,4,16.24,clear sky
66,Qaqortoq,GL,60.7167,-46.0333,44.6,39,75,9.22,light rain
67,Lorengau,PG,-2.0226,147.2712,80.89,77,46,6.29,light rain
68,Namatanai,PG,-3.6667,152.4333,78.87,79,77,0.72,broken clouds
69,Jaque,PA,7.5175,-78.1703,84.92,63,29,11.32,scattered clouds
70,Ahipara,NZ,-35.1667,173.1667,61.93,77,100,9.89,overcast clouds
71,Bethel,US,41.3712,-73.414,28.99,43,90,12.66,overcast clouds
72,Saldanha,ZA,-33.0117,17.9442,68.0,73,0,6.91,clear sky
73,Salalah,OM,17.0151,54.0924,77.0,83,0,2.3,clear sky
74,Nantucket,US,41.2835,-70.0995,32.0,43,1,16.11,clear sky
75,College,US,64.8569,-147.8028,1.0,84,90,1.28,light snow
76,Longyearbyen,SJ,78.2186,15.6401,5.0,61,75,17.27,broken clouds
77,Barrow,US,71.2906,-156.7887,-14.8,76,1,6.91,clear sky
78,Nikolskoye,RU,59.7035,30.7861,28.99,93,90,15.66,snow
79,Botro,CI,7.8525,-5.3106,93.2,38,40,6.91,scattered clouds
80,Kaitangata,NZ,-46.2817,169.8464,51.01,90,2,8.43,clear sky
81,Iacu,BR,-12.7672,-40.2117,97.09,24,0,4.47,clear sky
82,Saint George,US,37.1041,-113.5841,71.01,16,1,8.05,clear sky
83,Saint-Martin-Boulogne,FR,50.7269,1.6186,37.4,70,0,4.61,clear sky
84,Avarua,CK,-21.2078,-159.775,82.4,83,75,11.5,broken clouds
85,Port Elizabeth,ZA,-33.918,25.5701,69.8,78,0,14.97,clear sky
86,Bubaque,GW,11.2833,-15.8333,75.4,71,0,12.64,clear sky
87,Thompson,CA,55.7435,-97.8558,30.2,55,75,9.22,broken clouds
88,Big Bend,SZ,-26.8167,31.9333,72.9,81,94,4.61,overcast clouds
89,Coihaique,CL,-45.5752,-72.0662,68.0,52,40,9.22,scattered clouds
90,Kikwit,CD,-5.041,18.8162,72.0,93,100,1.45,overcast clouds
91,Hilo,US,19.7297,-155.09,66.2,82,75,4.61,light rain
92,Alofi,NU,-19.0595,-169.9187,77.0,94,98,3.44,overcast clouds
93,Wukari,NG,7.85,9.7833,88.29,13,0,4.61,clear sky
94,Kushnarenkovo,RU,55.105,55.3508,15.8,86,90,4.47,light snow
95,Minatitlan,MX,17.9833,-94.5167,78.8,78,75,23.02,broken clouds
96,Torbay,CA,47.6666,-52.7314,35.01,64,75,29.93,broken clouds
97,Ponta Do Sol,PT,32.6667,-17.1,62.6,67,40,16.11,scattered clouds
98,Altay,CN,47.8667,88.1167,20.37,77,0,5.88,clear sky
99,Khani,GE,41.9563,42.9566,51.8,50,75,13.8,broken clouds
100,Touros,BR,-5.1989,-35.4608,86.0,58,20,14.97,few clouds
101,Cabo San Lucas,MX,22.8909,-109.9124,75.2,49,75,3.44,broken clouds
102,Mirnyy,RU,62.5353,113.9611,7.34,95,91,2.68,overcast clouds
