City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint Anthony,US,3/2/21 22:54,45.0205,-93.218,48.2,53,1,13.8
1,Georgetown,MY,3/2/21 22:55,5.4112,100.3354,78.8,88,40,4.61
2,Rikitea,PF,3/2/21 22:51,-23.1203,-134.9692,78.08,69,68,0.81
3,Rabo De Peixe,PT,3/2/21 22:55,37.8,-25.5833,59,88,20,20.71
4,Punta Arenas,CL,3/2/21 22:55,-53.15,-70.9167,59,38,0,14.97
5,Ponta Do Sol,PT,3/2/21 22:52,32.6667,-17.1,55.99,62,55,5.01
6,Vaini,TO,3/2/21 22:52,-21.2,-175.2,73.4,94,90,12.66
7,Pangoa,PE,3/2/21 22:53,-12.1167,-73,73.69,87,94,1.72
8,Saldanha,ZA,3/2/21 22:55,-33.0117,17.9442,64.4,88,0,3.44
9,Yellowknife,CA,3/2/21 22:52,62.456,-114.3525,-2,71,75,11.5
10,Qasigiannguit,GL,3/2/21 22:55,68.8193,-51.1922,26.6,43,20,17.27
11,Grand Gaube,MU,3/2/21 22:55,-20.0064,57.6608,75.99,84,6,17.69
12,Magadan,RU,3/2/21 22:55,59.5667,150.8,-1.75,91,100,6.69
13,Iskateley,RU,3/2/21 22:55,67.6803,53.1512,9.95,96,22,2.93
14,Quimper,FR,3/2/21 22:55,48,-4.1,48.2,100,75,5.75
15,New Norfolk,AU,3/2/21 22:52,-42.7826,147.0587,57,65,77,1.99
16,Marang,MY,3/2/21 22:55,5.2056,103.2059,75.2,94,20,2.3
17,Tasiilaq,GL,3/2/21 22:55,65.6145,-37.6368,24.8,42,90,20.71
18,Barrow,US,3/2/21 22:54,71.2906,-156.7887,-18.4,63,90,12.66
19,Ushuaia,AR,3/2/21 22:51,-54.8,-68.3,53.6,54,40,11.5
20,Cayenne,GF,3/2/21 22:54,4.9333,-52.3333,73.4,94,90,9.62
21,Chuy,UY,3/2/21 22:52,-33.6971,-53.4616,72.88,88,32,11.81
22,Tuktoyaktuk,CA,3/2/21 22:55,69.4541,-133.0374,-11.2,64,75,4.61
